City,Super_Category,Category,Sub_Category,SKU_ID,Image,Brand,SKU Name,SKU Size,MRP,SP,Link,Active,Out of Stock
Banglore,Fruits & Vegetables,Fresh Vegetables,"Potato, Onion & Tomato",10000150,https://www.bigbasket.com/media/uploads/p/s/10000150_19-fresho-onion.jpg,Fresho,Onion (Loose),5 kg,164.47,125,https://www.bigbasket.com/pd/10000150/fresho-onion-5-kg/,Yes,No
Banglore,Fruits & Vegetables,Fresh Vegetables,"Potato, Onion & Tomato",10000159,https://www.bigbasket.com/media/uploads/p/s/10000159_27-fresho-potato.jpg,Fresho,Potato,1 kg,38.16,29,https://www.bigbasket.com/pd/10000159/fresho-potato-1-kg/,Yes,No
Banglore,Fruits & Vegetables,Fresh Vegetables,"Potato, Onion & Tomato",10000201,https://www.bigbasket.com/media/uploads/p/s/10000201_15-fresho-tomato-hybrid.jpg,Fresho,Tomato - Hybrid (Loose),500 g,15.13,11.5,https://www.bigbasket.com/pd/10000201/fresho-tomato-hybrid-500-g/,Yes,No
Banglore,Fruits & Vegetables,Fresh Vegetables,"Potato, Onion & Tomato",10000204,https://www.bigbasket.com/media/uploads/p/s/10000204_16-fresho-tomato-local.jpg,Fresho,Tomato - Local (Loose),500 g,13.16,10,https://www.bigbasket.com/pd/10000204/fresho-tomato-local-500-g/,Yes,No
Banglore,Fruits & Vegetables,Fresh Vegetables,"Potato, Onion & Tomato",1200045,https://www.bigbasket.com/media/uploads/p/s/1200045_1-fresho-potato-onion-tomato-1-kg-each.jpg,Fresho,Potato Onion Tomato 1 kg Each,Combo,101.31,77,https://www.bigbasket.com/pd/1200045/fresho-potato-onion-tomato-1-kg-each-combo/,Yes,No
Banglore,Fruits & Vegetables,Fresh Vegetables,"Potato, Onion & Tomato",40023472,https://www.bigbasket.com/media/uploads/p/s/40023472_5-fresho-onion-organically-grown.jpg,Fresho,Onion - Organically Grown (Loose),1 kg,34.21,26,https://www.bigbasket.com/pd/40023472/fresho-onion-organically-grown-1-kg/,Yes,No
Banglore,Fruits & Vegetables,Fresh Vegetables,"Potato, Onion & Tomato",40022638,https://www.bigbasket.com/media/uploads/p/s/40022638_4-fresho-tomato-local-organically-grown.jpg,Fresho,"Tomato - Local, Organically Grown (Loose)",500 g,10.53,8,https://www.bigbasket.com/pd/40022638/fresho-tomato-local-organically-grown-500-g/,Yes,No
Banglore,Fruits & Vegetables,Fresh Vegetables,"Potato, Onion & Tomato",10000195,https://www.bigbasket.com/media/uploads/p/s/10000195_15-fresho-sweet-potato.jpg,Fresho,Sweet Potato (Loose),250 g,13.16,10,https://www.bigbasket.com/pd/10000195/fresho-sweet-potato-250-g/,Yes,No
Banglore,Fruits & Vegetables,Fresh Vegetables,"Potato, Onion & Tomato",50000557,https://www.bigbasket.com/media/uploads/p/s/50000557_6-fresho-tomato-hybrid-organically-grown.jpg,Fresho,"Tomato - Hybrid, Organically Grown (Loose)",1 kg,23.68,18,https://www.bigbasket.com/pd/50000557/fresho-tomato-hybrid-organically-grown-1-kg/,Yes,No
Banglore,Fruits & Vegetables,Fresh Vegetables,"Potato, Onion & Tomato",40023476,https://www.bigbasket.com/media/uploads/p/s/40023476_5-fresho-potato-organically-grown.jpg,Fresho,Potato - Organically Grown (Loose),1 kg,40.79,31,https://www.bigbasket.com/pd/40023476/fresho-potato-organically-grown-1-kg/,Yes,No
Banglore,Fruits & Vegetables,Fresh Vegetables,Cucumber & Capsicum,10000068,https://www.bigbasket.com/media/uploads/p/s/10000068_22-fresho-capsicum-green.jpg,Fresho,Capsicum - Green (Loose),250 g,17.67,13.43,https://www.bigbasket.com/pd/10000068/fresho-capsicum-green-250-g/,Yes,No
Banglore,Fruits & Vegetables,Fresh Vegetables,Cucumber & Capsicum,10000103,https://www.bigbasket.com/media/uploads/p/s/10000103_16-fresho-cucumber.jpg,Fresho,Cucumber (Loose),500 g,17.11,13,https://www.bigbasket.com/pd/10000103/fresho-cucumber-500-g/,Yes,No
Banglore,Fruits & Vegetables,Fresh Vegetables,Cucumber & Capsicum,10000599,https://www.bigbasket.com/media/uploads/p/s/10000599_12-fresho-cucumber-english.jpg,Fresho,Cucumber - English (Loose),500 g,31.58,24,https://www.bigbasket.com/pd/10000599/fresho-cucumber-english-500-g/,Yes,No
Banglore,Fruits & Vegetables,Fresh Vegetables,Cucumber & Capsicum,1202153,https://www.bigbasket.com/media/uploads/p/s/1202153_1-fresho-cucumber-carrot-beetroot-500g-each-salad.jpg,Fresho,"Cucumber, Carrot & Beetroot 500g Each Salad",Combo,92.1,70,https://www.bigbasket.com/pd/1202153/fresho-cucumber-carrot-beetroot-500g-each-salad-combo/,Yes,No
Banglore,Fruits & Vegetables,Fresh Vegetables,Cucumber & Capsicum,1209663,https://www.bigbasket.com/media/uploads/p/s/1209663_3-fresho-ladies-finger-beans-french-ring-carrot-local-capsicum-green-500-g-each.jpg,Fresho,Ladies’ Fingers + Beans French Ring + Carrot Local + Capsicum (500 g each),Combo,182.68,138.84,https://www.bigbasket.com/pd/1209663/fresho-ladies-finger-beans-french-ring-carrot-local-capsicum-green-500-g-each-combo/,Yes,No
Banglore,Fruits & Vegetables,Fresh Vegetables,Cucumber & Capsicum,10000091,https://www.bigbasket.com/media/uploads/p/s/10000091_18-fresho-coccinia.jpg,Fresho,Coccinia (Loose),500 g,26.32,20,https://www.bigbasket.com/pd/10000091/fresho-coccinia-500-g/,Yes,No
Banglore,Fruits & Vegetables,Fresh Vegetables,Cucumber & Capsicum,1209674,https://www.bigbasket.com/media/uploads/p/s/1209674_1-fresho-palak-250gladies-finger-500gcucumber-1kgcapsicum-green-500gbottle-gourd-1pc.jpg,Fresho,Palak 250g+Ladies’ Fingers 500g+Cucumber 1kg+Capsicum500g+Bottle Gourd 1pc,Combo,162.95,123.84,https://www.bigbasket.com/pd/1209674/fresho-palak-250gladies-finger-500gcucumber-1kgcapsicum-green-500gbottle-gourd-1pc-combo/,Yes,No
Banglore,Fruits & Vegetables,Fresh Vegetables,Cucumber & Capsicum,1209673,https://www.bigbasket.com/media/uploads/p/s/1209673_1-fresho-palakladies-fingercapsicum-green500g-eachcucumberbottle-gourd1kg-each.jpg,Fresho,Palak+Ladies’ Fingers+Capsicum(500g Each) +Cucumber+Bottle Gourd(1kg Each),Combo,218.2,165.84,https://www.bigbasket.com/pd/1209673/fresho-palakladies-fingercapsicum-green500g-eachcucumberbottle-gourd1kg-each-combo/,Yes,No
Banglore,Fruits & Vegetables,Fresh Vegetables,Cucumber & Capsicum,1209675,https://www.bigbasket.com/media/uploads/p/s/1209675_1-fresho-palak-ladies-finger-cucumber-capsicum-green-500g-each-bottle-gourd-1kg.jpg,Fresho,Palak + Ladies’ Fingers + Cucumber + Capsicum (500g Each) + Bottle Gourd 1kg,Combo,201.1,152.84,https://www.bigbasket.com/pd/1209675/fresho-palak-ladies-finger-cucumber-capsicum-green-500g-each-bottle-gourd-1kg-combo/,Yes,No
Banglore,Fruits & Vegetables,Fresh Vegetables,Cucumber & Capsicum,1209677,https://www.bigbasket.com/media/uploads/p/s/1209677_1-fresho-palak-250g-ladies-fingercucumbercapsicum-green-500g-each-bottle-gourd-1kg.jpg,Fresho,Palak 250g +Ladies’ Fingers + Cucumber + Capsicum (500g Each) +Bottle Gourd 1kg,Combo,156.37,118.84,https://www.bigbasket.com/pd/1209677/fresho-palak-250g-ladies-fingercucumbercapsicum-green-500g-each-bottle-gourd-1kg-combo/,Yes,No
Banglore,Fruits & Vegetables,Fresh Vegetables,Leafy Vegetables,10000098,https://www.bigbasket.com/media/uploads/p/s/10000098_9-fresho-coriander-leaves.jpg,Fresho,Coriander Leaves,250 g,62.5,47.5,https://www.bigbasket.com/pd/10000098/fresho-coriander-leaves-250-g/,Yes,No
Banglore,Fruits & Vegetables,Fresh Vegetables,Leafy Vegetables,20000979,https://www.bigbasket.com/media/uploads/p/s/20000979_12-fresho-palak-cleaned-without-roots.jpg,Fresho,"Palak - Cleaned, without roots",250 g,44.74,34,https://www.bigbasket.com/pd/20000979/fresho-palak-cleaned-without-roots-250-g/,Yes,No
Banglore,Fruits & Vegetables,Fresh Vegetables,Leafy Vegetables,20000974,https://www.bigbasket.com/media/uploads/p/s/20000974_12-fresho-methiventhaya-keerai-cleaned-without-roots.jpg,Fresho,"Methi/Venthaya Keerai - Cleaned, without roots",100 g,28.95,22,https://www.bigbasket.com/pd/20000974/fresho-methiventhaya-keerai-cleaned-without-roots-100-g/,Yes,No
Banglore,Fruits & Vegetables,Fresh Vegetables,Leafy Vegetables,10000104,https://www.bigbasket.com/media/uploads/p/s/10000104_17-fresho-curry-leaves.jpg,Fresho,Curry Leaves,100 g,22.37,17,https://www.bigbasket.com/pd/10000104/fresho-curry-leaves-100-g/,Yes,No
Banglore,Fruits & Vegetables,Fresh Vegetables,Leafy Vegetables,1209674,https://www.bigbasket.com/media/uploads/p/s/1209674_1-fresho-palak-250gladies-finger-500gcucumber-1kgcapsicum-green-500gbottle-gourd-1pc.jpg,Fresho,Palak 250g+Ladies’ Fingers 500g+Cucumber 1kg+Capsicum500g+Bottle Gourd 1pc,Combo,162.95,123.84,https://www.bigbasket.com/pd/1209674/fresho-palak-250gladies-finger-500gcucumber-1kgcapsicum-green-500gbottle-gourd-1pc-combo/,Yes,No
Banglore,Fruits & Vegetables,Fresh Vegetables,Leafy Vegetables,1209673,https://www.bigbasket.com/media/uploads/p/s/1209673_1-fresho-palakladies-fingercapsicum-green500g-eachcucumberbottle-gourd1kg-each.jpg,Fresho,Palak+Ladies’ Fingers+Capsicum(500g Each) +Cucumber+Bottle Gourd(1kg Each),Combo,218.2,165.84,https://www.bigbasket.com/pd/1209673/fresho-palakladies-fingercapsicum-green500g-eachcucumberbottle-gourd1kg-each-combo/,Yes,No
